time,interrupts
2019-07-12 11:45:50,129.36687
2019-07-12 11:45:49,143.95453
2019-07-12 11:45:48,136.35671
2019-07-12 11:45:47,155.14598
2019-07-12 11:45:46,150.1794
2019-07-12 11:45:45,167.70277
2019-07-12 11:45:44,175.4348
2019-07-12 11:45:43,194.3937
2019-07-12 11:45:42,158.57702
2019-07-12 11:45:41,142.84904
2019-07-12 11:45:40,144.34766
2019-07-12 11:45:39,148.8345
2019-07-12 11:45:38,145.33547
2019-07-12 11:45:37,155.9886
2019-07-12 11:45:36,158.9729
2019-07-12 11:45:35,153.37404
2019-07-12 11:45:34,142.67577
2019-07-12 11:45:33,132.93829
2019-07-12 11:45:32,134.44249
2019-07-12 11:45:31,158.16145
2019-07-12 11:45:30,137.90693
2019-07-12 11:45:29,152.26538
2019-07-12 11:45:28,171.5121
2019-07-12 11:45:27,178.635
2019-07-12 11:45:26,190.5442
2019-07-12 11:45:25,170.0485
2019-07-12 11:45:24,153.97423
2019-07-12 11:45:23,141.08503
2019-07-12 11:45:22,132.59898
2019-07-12 11:45:21,137.98914
2019-07-12 11:45:20,134.3065
2019-07-12 11:45:19,160.37557
2019-07-12 11:45:18,175.8799
2019-07-12 11:45:17,148.18383
2019-07-12 11:45:16,184.3795
2019-07-12 11:45:15,152.78045
2019-07-12 11:45:14,172.3421
2019-07-12 11:45:13,210.5812
2019-07-12 11:45:12,154.5007
2019-07-12 11:45:11,142.39507
2019-07-12 11:45:10,144.58013
2019-07-12 11:45:09,132.48261
2019-07-12 11:45:08,144.57775
2019-07-12 11:45:07,151.88392
2019-07-12 11:45:06,167.50077
2019-07-12 11:45:05,123.3709
2019-07-12 11:45:04,134.88596
2019-07-12 11:45:03,137.96528
2019-07-12 11:45:02,136.78765
2019-07-12 11:45:01,123.5343
2019-07-12 11:45:00,118.34052
2019-07-12 11:44:59,135.67552
2019-07-12 11:44:58,140.95724
2019-07-12 11:44:57,145.36735
2019-07-12 11:44:56,160.26275
2019-07-12 11:44:55,135.85594
2019-07-12 11:44:54,142.00186
2019-07-12 11:44:53,138.92188
2019-07-12 11:44:52,140.41544
