time,avail
2019-07-12 11:48:25,1537.3359
2019-07-12 11:48:24,1537.3359
2019-07-12 11:48:23,1537.3398
2019-07-12 11:48:22,1537.3398
2019-07-12 11:48:21,1537.3398
2019-07-12 11:48:20,1537.3398
2019-07-12 11:48:19,1537.3398
2019-07-12 11:48:18,1537.3398
2019-07-12 11:48:17,1537.3398
2019-07-12 11:48:16,1537.2188
2019-07-12 11:48:15,1537.2188
2019-07-12 11:48:14,1537.2188
2019-07-12 11:48:13,1537.2188
2019-07-12 11:48:12,1537.2188
2019-07-12 11:48:11,1537.1953
2019-07-12 11:48:10,1537.1953
2019-07-12 11:48:09,1537.0742
2019-07-12 11:48:08,1537.0742
2019-07-12 11:48:07,1537.0742
2019-07-12 11:48:06,1537.0703
2019-07-12 11:48:05,1537.0703
2019-07-12 11:48:04,1537.0703
2019-07-12 11:48:03,1537.1914
2019-07-12 11:48:02,1537.1914
2019-07-12 11:48:01,1537.1914
2019-07-12 11:48:00,1537.1914
2019-07-12 11:47:59,1537.1914
2019-07-12 11:47:58,1537.1914
2019-07-12 11:47:57,1537.1914
2019-07-12 11:47:56,1537.1914
2019-07-12 11:47:55,1537.1914
2019-07-12 11:47:54,1537.1914
2019-07-12 11:47:53,1537.1914
2019-07-12 11:47:52,1537.1914
2019-07-12 11:47:51,1537.1914
2019-07-12 11:47:50,1537.1914
2019-07-12 11:47:49,1537.1914
2019-07-12 11:47:48,1537.1914
2019-07-12 11:47:47,1537.1914
2019-07-12 11:47:46,1537.1914
2019-07-12 11:47:45,1537.1914
2019-07-12 11:47:44,1537.1914
2019-07-12 11:47:43,1537.1914
2019-07-12 11:47:42,1537.1836
2019-07-12 11:47:41,1537.1836
2019-07-12 11:47:40,1537.1836
2019-07-12 11:47:39,1537.1836
2019-07-12 11:47:38,1537.1875
2019-07-12 11:47:37,1537.1758
2019-07-12 11:47:36,1537.1758
2019-07-12 11:47:35,1537.1641
2019-07-12 11:47:34,1537.1641
2019-07-12 11:47:33,1537.1641
2019-07-12 11:47:32,1537.1641
2019-07-12 11:47:31,1537.1641
2019-07-12 11:47:30,1537.1641
2019-07-12 11:47:29,1537.1641
2019-07-12 11:47:28,1537.1641
2019-07-12 11:47:27,1537.1211
2019-07-12 11:47:26,1537.0391
2019-07-12 11:47:25,1537.0391
2019-07-12 11:47:24,1537.0391
2019-07-12 11:47:23,1537.0391
2019-07-12 11:47:22,1537.0391
2019-07-12 11:47:21,1537.0312
2019-07-12 11:47:20,1537.5
2019-07-12 11:47:19,1537.8555
2019-07-12 11:47:18,1537.8555
2019-07-12 11:47:17,1537.8555
2019-07-12 11:47:16,1537.8555
2019-07-12 11:47:15,1537.8555
2019-07-12 11:47:14,1537.8555
2019-07-12 11:47:13,1537.8516
2019-07-12 11:47:12,1537.8516
2019-07-12 11:47:11,1537.8438
2019-07-12 11:47:10,1537.8438
2019-07-12 11:47:09,1537.8359
2019-07-12 11:47:08,1537.8359
2019-07-12 11:47:07,1537.8359
2019-07-12 11:47:06,1537.8398
2019-07-12 11:47:05,1537.8398
2019-07-12 11:47:04,1537.8008
2019-07-12 11:47:03,1537.7188
2019-07-12 11:47:02,1537.7188
2019-07-12 11:47:01,1537.7188
2019-07-12 11:47:00,1537.7188
2019-07-12 11:46:59,1537.7188
2019-07-12 11:46:58,1537.7188
2019-07-12 11:46:57,1537.8359
2019-07-12 11:46:56,1537.7148
2019-07-12 11:46:55,1537.7148
2019-07-12 11:46:54,1537.7148
2019-07-12 11:46:53,1537.6992
2019-07-12 11:46:52,1537.6602
2019-07-12 11:46:51,1537.8125
2019-07-12 11:46:50,1537.8125
2019-07-12 11:46:49,1537.7188
2019-07-12 11:46:48,1537.5547
2019-07-12 11:46:47,1537.5547
2019-07-12 11:46:46,1537.5547
2019-07-12 11:46:45,1537.5508
2019-07-12 11:46:44,1537.5508
2019-07-12 11:46:43,1537.5508
2019-07-12 11:46:42,1537.5508
2019-07-12 11:46:41,1537.5508
2019-07-12 11:46:40,1537.4922
2019-07-12 11:46:39,1537.5312
2019-07-12 11:46:38,1537.5312
