time,switches
2019-07-12 11:45:49,300.5194
2019-07-12 11:45:48,292.0796
2019-07-12 11:45:47,328.3406
2019-07-12 11:45:46,299.5054
2019-07-12 11:45:45,337.2583
2019-07-12 11:45:44,357.6219
2019-07-12 11:45:43,423.7479
2019-07-12 11:45:42,345.9116
2019-07-12 11:45:41,312.2127
2019-07-12 11:45:40,342.9322
2019-07-12 11:45:39,343.1924
2019-07-12 11:45:38,324.6533
2019-07-12 11:45:37,322.4586
2019-07-12 11:45:36,325.9351
2019-07-12 11:45:35,326.7632
2019-07-12 11:45:34,303.3392
2019-07-12 11:45:33,304.1087
2019-07-12 11:45:32,302.6783
2019-07-12 11:45:31,348.9904
2019-07-12 11:45:30,322.3573
2019-07-12 11:45:29,334.0541
2019-07-12 11:45:28,341.0241
2019-07-12 11:45:27,355.5204
2019-07-12 11:45:26,382.0827
2019-07-12 11:45:25,346.8585
2019-07-12 11:45:24,319.7215
2019-07-12 11:45:23,305.1398
2019-07-12 11:45:22,269.7004
2019-07-12 11:45:21,286.6212
2019-07-12 11:45:20,301.6904
2019-07-12 11:45:19,345.5254
2019-07-12 11:45:18,350.778
2019-07-12 11:45:17,305.388
2019-07-12 11:45:16,384.9833
2019-07-12 11:45:15,318.1179
2019-07-12 11:45:14,388.2109
2019-07-12 11:45:13,456.2712
2019-07-12 11:45:12,330.1518
2019-07-12 11:45:11,306.548
2019-07-12 11:45:10,307.1379
2019-07-12 11:45:09,283.9403
2019-07-12 11:45:08,297.879
2019-07-12 11:45:07,315.1848
2019-07-12 11:45:06,353.8458
2019-07-12 11:45:05,265.0346
2019-07-12 11:45:04,293.207
2019-07-12 11:45:03,295.3737
2019-07-12 11:45:02,286.5974
2019-07-12 11:45:01,267.7845
2019-07-12 11:45:00,268.6523
2019-07-12 11:44:59,280.7854
2019-07-12 11:44:58,293.14
2019-07-12 11:44:57,318.4896
2019-07-12 11:44:56,335.538
2019-07-12 11:44:55,284.2812
2019-07-12 11:44:54,303.883
2019-07-12 11:44:53,297.5435
2019-07-12 11:44:52,289.964
2019-07-12 11:44:51,282.1008
2019-07-12 11:44:50,285.8161
2019-07-12 11:44:49,290.537
2019-07-12 11:44:48,289.9228
2019-07-12 11:44:47,304.883
2019-07-12 11:44:46,324.1581
2019-07-12 11:44:45,333.1352
2019-07-12 11:44:44,376.7719
2019-07-12 11:44:43,423.6836
2019-07-12 11:44:42,344.4833
2019-07-12 11:44:41,307.7924
2019-07-12 11:44:40,319.3792
2019-07-12 11:44:39,307.4152
2019-07-12 11:44:38,322.7742
2019-07-12 11:44:37,313.625
2019-07-12 11:44:36,340.2887
2019-07-12 11:44:35,311.1952
2019-07-12 11:44:34,302.0097
2019-07-12 11:44:33,286.7798
2019-07-12 11:44:32,316.1813
2019-07-12 11:44:31,302.7203
2019-07-12 11:44:30,306.0767
2019-07-12 11:44:29,314.0553
2019-07-12 11:44:28,332.3477
2019-07-12 11:44:27,439.1552
2019-07-12 11:44:26,553.7649
2019-07-12 11:44:25,316.5664
2019-07-12 11:44:24,301.2295
2019-07-12 11:44:23,306.3589
2019-07-12 11:44:22,295.7689
2019-07-12 11:44:21,298.0759
2019-07-12 11:44:20,325.6187
2019-07-12 11:44:19,344.5579
2019-07-12 11:44:18,320.2345
2019-07-12 11:44:17,336.727
2019-07-12 11:44:16,382.3767
2019-07-12 11:44:15,336.0749
2019-07-12 11:44:14,390.3316
2019-07-12 11:44:13,452.6278
2019-07-12 11:44:12,326.211
2019-07-12 11:44:11,305.2308
2019-07-12 11:44:10,325.2361
2019-07-12 11:44:09,320.1581
2019-07-12 11:44:08,323.9147
2019-07-12 11:44:07,317.595
2019-07-12 11:44:06,334.7812
2019-07-12 11:44:05,317.5833
2019-07-12 11:44:04,322.501
2019-07-12 11:44:03,296.0889
2019-07-12 11:44:02,303.5998
2019-07-12 11:44:01,305.6175
2019-07-12 11:44:00,295.6181
2019-07-12 11:43:59,297.9646
2019-07-12 11:43:58,297.8151
2019-07-12 11:43:57,304.6703
2019-07-12 11:43:56,325.3934
2019-07-12 11:43:55,303.8465
2019-07-12 11:43:54,292.4041
2019-07-12 11:43:53,295.7566
2019-07-12 11:43:52,292.5051
2019-07-12 11:43:51,294.459
2019-07-12 11:43:50,273.9185
2019-07-12 11:43:49,296.7522
2019-07-12 11:43:48,298.2205
2019-07-12 11:43:47,310.3583
2019-07-12 11:43:46,344.7323
2019-07-12 11:43:45,330.7273
2019-07-12 11:43:44,386.7705
2019-07-12 11:43:43,428.9163
2019-07-12 11:43:42,348.0376
2019-07-12 11:43:41,326.2124
2019-07-12 11:43:40,352.8684
2019-07-12 11:43:39,327.7717
2019-07-12 11:43:38,530.4998
2019-07-12 11:43:37,722.8458
2019-07-12 11:43:36,474.7061
2019-07-12 11:43:35,675.2441
2019-07-12 11:43:34,541.4128
2019-07-12 11:43:33,549.3458
2019-07-12 11:43:32,528.2111
2019-07-12 11:43:31,549.0293
2019-07-12 11:43:30,538.1145
2019-07-12 11:43:29,544.6476
2019-07-12 11:43:28,522.7248
2019-07-12 11:43:27,595.9971
2019-07-12 11:43:26,782.623
2019-07-12 11:43:25,509.3974
2019-07-12 11:43:24,563.4783
2019-07-12 11:43:23,392.4905
2019-07-12 11:43:22,267.5194
2019-07-12 11:43:21,286.892
2019-07-12 11:43:20,316.7435
2019-07-12 11:43:19,334.6266
2019-07-12 11:43:18,326.9932
2019-07-12 11:43:17,341.3957
2019-07-12 11:43:16,388.7636
2019-07-12 11:43:15,337.4376
2019-07-12 11:43:14,396.096
2019-07-12 11:43:13,427.3024
2019-07-12 11:43:12,328.8022
2019-07-12 11:43:11,308.629
2019-07-12 11:43:10,312.9633
2019-07-12 11:43:09,300.1205
2019-07-12 11:43:08,309.0718
2019-07-12 11:43:07,287.4186
2019-07-12 11:43:06,331.2953
2019-07-12 11:43:05,382.3302
2019-07-12 11:43:04,299.4804
2019-07-12 11:43:03,295.2978
2019-07-12 11:43:02,299.1013
2019-07-12 11:43:01,297.0456
2019-07-12 11:43:00,296.5127
2019-07-12 11:42:59,297.8767
2019-07-12 11:42:58,290.1506
2019-07-12 11:42:57,284.9805
2019-07-12 11:42:56,323.018
2019-07-12 11:42:55,358.6749
2019-07-12 11:42:54,292.8731
2019-07-12 11:42:53,302.6304
2019-07-12 11:42:52,309.5623
2019-07-12 11:42:51,287.6057
2019-07-12 11:42:50,291.995
2019-07-12 11:42:49,303.9257
2019-07-12 11:42:48,302.3004
2019-07-12 11:42:47,290.4409
2019-07-12 11:42:46,296.582
2019-07-12 11:42:45,324.518
2019-07-12 11:42:44,411.2547
2019-07-12 11:42:43,447.5899
2019-07-12 11:42:42,328.186
2019-07-12 11:42:41,308.1311
2019-07-12 11:42:40,311.5447
2019-07-12 11:42:39,305.3484
2019-07-12 11:42:38,307.8429
2019-07-12 11:42:37,293.0457
2019-07-12 11:42:36,291.8519
2019-07-12 11:42:35,299.7467
2019-07-12 11:42:34,284.2487
2019-07-12 11:42:33,275.8033
2019-07-12 11:42:32,288.2468
2019-07-12 11:42:31,295.2654
2019-07-12 11:42:30,293.4192
2019-07-12 11:42:29,343.9634
2019-07-12 11:42:28,373.3719
2019-07-12 11:42:27,304.4467
2019-07-12 11:42:26,288.2681
2019-07-12 11:42:25,292.0285
2019-07-12 11:42:24,279.2241
2019-07-12 11:42:23,288.8795
2019-07-12 11:42:22,299.6353
2019-07-12 11:42:21,277.1767
2019-07-12 11:42:20,293.6087
2019-07-12 11:42:19,311.1251
