time,reads,writes
2019-07-12 11:45:56,0,0
2019-07-12 11:45:55,0,0
2019-07-12 11:45:54,0,0
2019-07-12 11:45:53,0,0
2019-07-12 11:45:52,0,0
2019-07-12 11:45:51,0,0
2019-07-12 11:45:50,0,-0.4591008
2019-07-12 11:45:49,0,-1.5408992
2019-07-12 11:45:48,0,0
2019-07-12 11:45:47,0,-0.2305611
2019-07-12 11:45:46,0,-0.7694389
2019-07-12 11:45:45,0,0
2019-07-12 11:45:44,0,0
2019-07-12 11:45:43,0,-0.5022439
2019-07-12 11:45:42,0,-1.4977561
2019-07-12 11:45:41,0,0
2019-07-12 11:45:40,0,0
2019-07-12 11:45:39,0,0
2019-07-12 11:45:38,0,0
2019-07-12 11:45:37,0,0
2019-07-12 11:45:36,0,0
2019-07-12 11:45:35,0,0
2019-07-12 11:45:34,0,0
2019-07-12 11:45:33,0,-0.500242
2019-07-12 11:45:32,0,-1.751337
2019-07-12 11:45:31,0,-0.748421
2019-07-12 11:45:30,0,0
2019-07-12 11:45:29,0,0
2019-07-12 11:45:28,0,0
2019-07-12 11:45:27,0,-0.999937
2019-07-12 11:45:26,0,-3.000063
2019-07-12 11:45:25,0,0
2019-07-12 11:45:24,0,0
2019-07-12 11:45:23,0,0
2019-07-12 11:45:22,0,0
2019-07-12 11:45:21,0,0
2019-07-12 11:45:20,0,-0.500299
2019-07-12 11:45:19,0,-1.499701
2019-07-12 11:45:18,0,0
2019-07-12 11:45:17,0,0
2019-07-12 11:45:16,0,0
2019-07-12 11:45:15,0,0
2019-07-12 11:45:14,0,0
2019-07-12 11:45:13,0,-0.5716589
2019-07-12 11:45:12,0,-1.4283411
2019-07-12 11:45:11,0,0
2019-07-12 11:45:10,0,0
2019-07-12 11:45:09,0,0
2019-07-12 11:45:08,0,0
2019-07-12 11:45:07,0,0
2019-07-12 11:45:06,0,0
2019-07-12 11:45:05,0,0
2019-07-12 11:45:04,0,0
2019-07-12 11:45:03,0,-0.5746324
2019-07-12 11:45:02,0,-1.4253676
2019-07-12 11:45:01,0,0
2019-07-12 11:45:00,0,0
2019-07-12 11:44:59,0,0
2019-07-12 11:44:58,0,0
2019-07-12 11:44:57,0,-0.5712554
2019-07-12 11:44:56,0,-1.4287446
2019-07-12 11:44:55,0,0
2019-07-12 11:44:54,0,0
2019-07-12 11:44:53,0,0
2019-07-12 11:44:52,0,0
2019-07-12 11:44:51,0,-1.4280289
2019-07-12 11:44:50,0,-4.144682
2019-07-12 11:44:49,0,-1.4272889
2019-07-12 11:44:48,0,0
2019-07-12 11:44:47,0,0
2019-07-12 11:44:46,0,0
2019-07-12 11:44:45,0,0
2019-07-12 11:44:44,0,0
2019-07-12 11:44:43,0,-0.5868305
2019-07-12 11:44:42,0,-1.4131695
2019-07-12 11:44:41,0,-0.2922901
2019-07-12 11:44:40,0,-0.7077099
2019-07-12 11:44:39,0,0
2019-07-12 11:44:38,0,0
2019-07-12 11:44:37,0,0
2019-07-12 11:44:36,0,0
2019-07-12 11:44:35,0,0
2019-07-12 11:44:34,0,0
2019-07-12 11:44:33,0,-0.5913429
2019-07-12 11:44:32,0,-1.4086571
2019-07-12 11:44:31,0,0
2019-07-12 11:44:30,0,0
2019-07-12 11:44:29,0,0
2019-07-12 11:44:28,0,0
2019-07-12 11:44:27,0,0
2019-07-12 11:44:26,0,0
2019-07-12 11:44:25,0,0
2019-07-12 11:44:24,0,0
2019-07-12 11:44:23,0,0
2019-07-12 11:44:22,0,0
2019-07-12 11:44:21,0,0
2019-07-12 11:44:20,0,-0.5897928
2019-07-12 11:44:19,0,-1.4102072
2019-07-12 11:44:18,0,0
2019-07-12 11:44:17,0,0
2019-07-12 11:44:16,0,-1.1763682
2019-07-12 11:44:15,0,-2.823632
2019-07-12 11:44:14,0,0
2019-07-12 11:44:13,0,0
2019-07-12 11:44:12,0,-0.6328071
2019-07-12 11:44:11,0,-1.3671929
2019-07-12 11:44:10,0,0
2019-07-12 11:44:09,0,0
2019-07-12 11:44:08,0,0
2019-07-12 11:44:07,0,0
2019-07-12 11:44:06,0,-0.3134071
2019-07-12 11:44:05,0,-0.6865929
2019-07-12 11:44:04,0,0
2019-07-12 11:44:03,0,-0.6284162
2019-07-12 11:44:02,0,-1.3715838
2019-07-12 11:44:01,0,0
2019-07-12 11:44:00,0,0
2019-07-12 11:43:59,0,0
2019-07-12 11:43:58,0,0
2019-07-12 11:43:57,0,0
