time,free,used
2019-07-12 11:48:25,1023.9961,0
2019-07-12 11:48:24,1023.9961,0
2019-07-12 11:48:23,1023.9961,0
2019-07-12 11:48:22,1023.9961,0
2019-07-12 11:48:21,1023.9961,0
2019-07-12 11:48:20,1023.9961,0
2019-07-12 11:48:19,1023.9961,0
2019-07-12 11:48:18,1023.9961,0
2019-07-12 11:48:17,1023.9961,0
2019-07-12 11:48:16,1023.9961,0
2019-07-12 11:48:15,1023.9961,0
2019-07-12 11:48:14,1023.9961,0
2019-07-12 11:48:13,1023.9961,0
2019-07-12 11:48:12,1023.9961,0
2019-07-12 11:48:11,1023.9961,0
2019-07-12 11:48:10,1023.9961,0
2019-07-12 11:48:09,1023.9961,0
2019-07-12 11:48:08,1023.9961,0
2019-07-12 11:48:07,1023.9961,0
2019-07-12 11:48:06,1023.9961,0
2019-07-12 11:48:05,1023.9961,0
2019-07-12 11:48:04,1023.9961,0
2019-07-12 11:48:03,1023.9961,0
2019-07-12 11:48:02,1023.9961,0
2019-07-12 11:48:01,1023.9961,0
2019-07-12 11:48:00,1023.9961,0
2019-07-12 11:47:59,1023.9961,0
2019-07-12 11:47:58,1023.9961,0
2019-07-12 11:47:57,1023.9961,0
2019-07-12 11:47:56,1023.9961,0
2019-07-12 11:47:55,1023.9961,0
2019-07-12 11:47:54,1023.9961,0
2019-07-12 11:47:53,1023.9961,0
2019-07-12 11:47:52,1023.9961,0
2019-07-12 11:47:51,1023.9961,0
2019-07-12 11:47:50,1023.9961,0
2019-07-12 11:47:49,1023.9961,0
2019-07-12 11:47:48,1023.9961,0
2019-07-12 11:47:47,1023.9961,0
2019-07-12 11:47:46,1023.9961,0
2019-07-12 11:47:45,1023.9961,0
2019-07-12 11:47:44,1023.9961,0
2019-07-12 11:47:43,1023.9961,0
2019-07-12 11:47:42,1023.9961,0
2019-07-12 11:47:41,1023.9961,0
2019-07-12 11:47:40,1023.9961,0
2019-07-12 11:47:39,1023.9961,0
2019-07-12 11:47:38,1023.9961,0
2019-07-12 11:47:37,1023.9961,0
2019-07-12 11:47:36,1023.9961,0
2019-07-12 11:47:35,1023.9961,0
2019-07-12 11:47:34,1023.9961,0
2019-07-12 11:47:33,1023.9961,0
2019-07-12 11:47:32,1023.9961,0
2019-07-12 11:47:31,1023.9961,0
2019-07-12 11:47:30,1023.9961,0
2019-07-12 11:47:29,1023.9961,0
2019-07-12 11:47:28,1023.9961,0
2019-07-12 11:47:27,1023.9961,0
2019-07-12 11:47:26,1023.9961,0
2019-07-12 11:47:25,1023.9961,0
2019-07-12 11:47:24,1023.9961,0
2019-07-12 11:47:23,1023.9961,0
2019-07-12 11:47:22,1023.9961,0
2019-07-12 11:47:21,1023.9961,0
2019-07-12 11:47:20,1023.9961,0
2019-07-12 11:47:19,1023.9961,0
2019-07-12 11:47:18,1023.9961,0
2019-07-12 11:47:17,1023.9961,0
2019-07-12 11:47:16,1023.9961,0
2019-07-12 11:47:15,1023.9961,0
2019-07-12 11:47:14,1023.9961,0
2019-07-12 11:47:13,1023.9961,0
2019-07-12 11:47:12,1023.9961,0
2019-07-12 11:47:11,1023.9961,0
2019-07-12 11:47:10,1023.9961,0
2019-07-12 11:47:09,1023.9961,0
2019-07-12 11:47:08,1023.9961,0
2019-07-12 11:47:07,1023.9961,0
2019-07-12 11:47:06,1023.9961,0
2019-07-12 11:47:05,1023.9961,0
2019-07-12 11:47:04,1023.9961,0
2019-07-12 11:47:03,1023.9961,0
2019-07-12 11:47:02,1023.9961,0
2019-07-12 11:47:01,1023.9961,0
2019-07-12 11:47:00,1023.9961,0
2019-07-12 11:46:59,1023.9961,0
2019-07-12 11:46:58,1023.9961,0
2019-07-12 11:46:57,1023.9961,0
2019-07-12 11:46:56,1023.9961,0
2019-07-12 11:46:55,1023.9961,0
2019-07-12 11:46:54,1023.9961,0
2019-07-12 11:46:53,1023.9961,0
2019-07-12 11:46:52,1023.9961,0
2019-07-12 11:46:51,1023.9961,0
2019-07-12 11:46:50,1023.9961,0
2019-07-12 11:46:49,1023.9961,0
2019-07-12 11:46:48,1023.9961,0
2019-07-12 11:46:47,1023.9961,0
2019-07-12 11:46:46,1023.9961,0
2019-07-12 11:46:45,1023.9961,0
2019-07-12 11:46:44,1023.9961,0
2019-07-12 11:46:43,1023.9961,0
2019-07-12 11:46:42,1023.9961,0
2019-07-12 11:46:41,1023.9961,0
2019-07-12 11:46:40,1023.9961,0
2019-07-12 11:46:39,1023.9961,0
2019-07-12 11:46:38,1023.9961,0
2019-07-12 11:46:37,1023.9961,0
2019-07-12 11:46:36,1023.9961,0
2019-07-12 11:46:35,1023.9961,0
2019-07-12 11:46:34,1023.9961,0
2019-07-12 11:46:33,1023.9961,0
2019-07-12 11:46:32,1023.9961,0
2019-07-12 11:46:31,1023.9961,0
2019-07-12 11:46:30,1023.9961,0
2019-07-12 11:46:29,1023.9961,0
2019-07-12 11:46:28,1023.9961,0
2019-07-12 11:46:27,1023.9961,0
