time,free,used,cached,buffers
2019-07-12 11:48:25,274.3633,300.625,1410.7422,13.328125
2019-07-12 11:48:24,274.3633,300.625,1410.7422,13.328125
2019-07-12 11:48:23,274.3633,300.6211,1410.7461,13.328125
2019-07-12 11:48:22,274.3633,300.6211,1410.7461,13.328125
2019-07-12 11:48:21,274.3633,300.6211,1410.7461,13.328125
2019-07-12 11:48:20,274.3633,300.6211,1410.7461,13.328125
2019-07-12 11:48:19,274.3633,300.6289,1410.7383,13.328125
2019-07-12 11:48:18,274.3633,300.6289,1410.7461,13.320312
2019-07-12 11:48:17,274.3633,300.6289,1410.7461,13.320312
2019-07-12 11:48:16,274.2422,300.75,1410.7461,13.320312
2019-07-12 11:48:15,274.2422,300.75,1410.7461,13.320312
2019-07-12 11:48:14,274.2422,300.75,1410.7461,13.320312
2019-07-12 11:48:13,274.2422,300.75,1410.7461,13.320312
2019-07-12 11:48:12,274.2422,300.75,1410.7461,13.320312
2019-07-12 11:48:11,274.2422,300.7578,1410.7461,13.3125
2019-07-12 11:48:10,274.2422,300.7578,1410.7461,13.3125
2019-07-12 11:48:09,274.1211,300.8789,1410.7461,13.3125
2019-07-12 11:48:08,274.1211,300.8789,1410.7461,13.3125
2019-07-12 11:48:07,274.1211,300.8789,1410.7461,13.3125
2019-07-12 11:48:06,274.1211,300.8867,1410.7383,13.3125
2019-07-12 11:48:05,274.1211,300.8945,1410.7305,13.3125
2019-07-12 11:48:04,274.1211,300.8945,1410.7305,13.3125
2019-07-12 11:48:03,274.2422,300.7734,1410.7305,13.3125
2019-07-12 11:48:02,274.2422,300.7734,1410.7305,13.3125
2019-07-12 11:48:01,274.2422,300.7734,1410.7383,13.304688
2019-07-12 11:48:00,274.2422,300.7734,1410.7383,13.304688
2019-07-12 11:47:59,274.2422,300.7734,1410.7383,13.304688
2019-07-12 11:47:58,274.2422,300.7734,1410.7383,13.304688
2019-07-12 11:47:57,274.2422,300.7734,1410.7383,13.304688
2019-07-12 11:47:56,274.2422,300.7734,1410.7383,13.304688
2019-07-12 11:47:55,274.2422,300.7812,1410.7305,13.304688
2019-07-12 11:47:54,274.2422,300.7812,1410.7305,13.304688
2019-07-12 11:47:53,274.2422,300.7812,1410.7305,13.304688
2019-07-12 11:47:52,274.2422,300.7812,1410.7305,13.304688
2019-07-12 11:47:51,274.2422,300.7812,1410.7305,13.304688
2019-07-12 11:47:50,274.2422,300.7812,1410.7305,13.304688
2019-07-12 11:47:49,274.2422,300.7812,1410.7305,13.304688
2019-07-12 11:47:48,274.2422,300.7812,1410.7383,13.296875
2019-07-12 11:47:47,274.2422,300.7812,1410.7383,13.296875
2019-07-12 11:47:46,274.2422,300.7812,1410.7383,13.296875
2019-07-12 11:47:45,274.2422,300.7773,1410.7422,13.296875
2019-07-12 11:47:44,274.2422,300.7773,1410.7422,13.296875
2019-07-12 11:47:43,274.2422,300.7773,1410.7422,13.296875
2019-07-12 11:47:42,274.2422,300.7852,1410.7422,13.289062
2019-07-12 11:47:41,274.2422,300.7852,1410.7422,13.289062
2019-07-12 11:47:40,274.2422,300.7852,1410.7422,13.289062
2019-07-12 11:47:39,274.2422,300.7852,1410.7422,13.289062
2019-07-12 11:47:38,274.2422,300.7812,1410.7461,13.289062
2019-07-12 11:47:37,274.2422,300.793,1410.7344,13.289062
2019-07-12 11:47:36,274.2422,300.793,1410.7422,13.28125
2019-07-12 11:47:35,274.2422,300.793,1410.7422,13.28125
2019-07-12 11:47:34,274.2422,300.793,1410.7422,13.28125
2019-07-12 11:47:33,274.2422,300.793,1410.7422,13.28125
2019-07-12 11:47:32,274.2422,300.7891,1410.7461,13.28125
2019-07-12 11:47:31,274.2422,300.7969,1410.7461,13.273438
2019-07-12 11:47:30,274.2422,300.7969,1410.7461,13.273438
2019-07-12 11:47:29,274.2422,300.7969,1410.7461,13.273438
2019-07-12 11:47:28,274.2422,300.7969,1410.7461,13.273438
2019-07-12 11:47:27,274.2031,300.8438,1410.7383,13.273438
2019-07-12 11:47:26,274.1211,300.9258,1410.7383,13.273438
2019-07-12 11:47:25,274.1211,300.9258,1410.7461,13.265625
2019-07-12 11:47:24,274.1211,300.9258,1410.7461,13.265625
2019-07-12 11:47:23,274.1211,300.9258,1410.7461,13.265625
2019-07-12 11:47:22,274.1211,300.9258,1410.7461,13.265625
2019-07-12 11:47:21,274.1211,300.9414,1410.7305,13.265625
2019-07-12 11:47:20,274.6055,300.4727,1410.7148,13.265625
2019-07-12 11:47:19,274.9688,300.1172,1410.707,13.265625
2019-07-12 11:47:18,274.9688,300.1172,1410.7148,13.257812
2019-07-12 11:47:17,274.9688,300.1172,1410.7148,13.257812
2019-07-12 11:47:16,274.9688,300.1172,1410.7148,13.257812
2019-07-12 11:47:15,274.9688,300.1172,1410.7148,13.257812
2019-07-12 11:47:14,274.9688,300.1172,1410.7148,13.257812
2019-07-12 11:47:13,274.9688,300.1211,1410.7109,13.257812
2019-07-12 11:47:12,274.9688,300.1211,1410.7109,13.257812
2019-07-12 11:47:11,274.9688,300.1289,1410.7109,13.25
2019-07-12 11:47:10,274.9688,300.1289,1410.7109,13.25
2019-07-12 11:47:09,274.9688,300.1289,1410.7109,13.25
2019-07-12 11:47:08,274.9688,300.1289,1410.7109,13.25
2019-07-12 11:47:07,274.9688,300.1289,1410.7109,13.25
2019-07-12 11:47:06,274.9688,300.1211,1410.7188,13.25
2019-07-12 11:47:05,274.9688,300.1211,1410.7188,13.25
2019-07-12 11:47:04,274.9297,300.1602,1410.7188,13.25
2019-07-12 11:47:03,274.8477,300.2422,1410.7188,13.25
2019-07-12 11:47:02,274.8477,300.25,1410.7109,13.25
2019-07-12 11:47:01,274.8477,300.25,1410.7109,13.25
2019-07-12 11:47:00,274.8477,300.25,1410.7109,13.25
2019-07-12 11:46:59,274.8477,300.25,1410.7188,13.242188
2019-07-12 11:46:58,274.8477,300.25,1410.7188,13.242188
2019-07-12 11:46:57,274.9688,300.1328,1410.7148,13.242188
2019-07-12 11:46:56,274.8477,300.2539,1410.7148,13.242188
2019-07-12 11:46:55,274.8477,300.2539,1410.7148,13.242188
2019-07-12 11:46:54,274.8477,300.2539,1410.7148,13.242188
2019-07-12 11:46:53,274.8477,300.2656,1410.7109,13.234375
2019-07-12 11:46:52,274.8086,300.3047,1410.7109,13.234375
2019-07-12 11:46:51,274.9688,300.1523,1410.7031,13.234375
2019-07-12 11:46:50,274.9688,300.1523,1410.7031,13.234375
2019-07-12 11:46:49,274.8906,300.2539,1410.6797,13.234375
2019-07-12 11:46:48,274.7266,300.418,1410.6875,13.226562
2019-07-12 11:46:47,274.7266,300.418,1410.6875,13.226562
2019-07-12 11:46:46,274.7266,300.418,1410.6875,13.226562
2019-07-12 11:46:45,274.7266,300.4219,1410.6836,13.226562
2019-07-12 11:46:44,274.7266,300.4219,1410.6836,13.226562
2019-07-12 11:46:43,274.7266,300.4219,1410.6836,13.226562
2019-07-12 11:46:42,274.7266,300.4219,1410.6836,13.226562
2019-07-12 11:46:41,274.7266,300.4219,1410.6836,13.226562
2019-07-12 11:46:40,274.6875,300.4688,1410.6758,13.226562
2019-07-12 11:46:39,274.7266,300.4297,1410.6836,13.21875
2019-07-12 11:46:38,274.7266,300.4297,1410.6836,13.21875
2019-07-12 11:46:37,274.7266,300.4297,1410.6836,13.21875
2019-07-12 11:46:36,274.8477,300.3086,1410.6836,13.21875
2019-07-12 11:46:35,274.8477,300.3086,1410.6836,13.21875
2019-07-12 11:46:34,274.8477,300.3164,1410.6758,13.21875
2019-07-12 11:46:33,274.8477,300.3164,1410.6758,13.21875
2019-07-12 11:46:32,274.8477,300.3164,1410.6758,13.21875
2019-07-12 11:46:31,274.7266,300.4375,1410.6758,13.21875
2019-07-12 11:46:30,274.7266,300.4414,1410.6719,13.21875
2019-07-12 11:46:29,274.7266,300.4414,1410.6797,13.210938
2019-07-12 11:46:28,274.7266,300.4414,1410.6797,13.210938
2019-07-12 11:46:27,274.7266,300.4336,1410.6875,13.210938
2019-07-12 11:46:26,274.7266,300.4336,1410.6875,13.210938
2019-07-12 11:46:25,274.6055,300.5547,1410.6875,13.210938
2019-07-12 11:46:24,274.7266,300.4336,1410.6875,13.210938
2019-07-12 11:46:23,274.7266,300.4336,1410.6875,13.210938
2019-07-12 11:46:22,274.7266,300.4336,1410.6875,13.210938
2019-07-12 11:46:21,274.7266,300.4336,1410.6875,13.210938
2019-07-12 11:46:20,274.7266,300.4336,1410.6875,13.210938
2019-07-12 11:46:19,274.7266,300.4336,1410.6875,13.210938
2019-07-12 11:46:18,274.7266,300.4336,1410.6875,13.210938
2019-07-12 11:46:17,274.7266,300.4414,1410.6797,13.210938
2019-07-12 11:46:16,274.7266,300.4414,1410.6875,13.203125
2019-07-12 11:46:15,274.6875,300.4805,1410.6875,13.203125
2019-07-12 11:46:14,274.6055,300.5625,1410.6875,13.203125
2019-07-12 11:46:13,274.6055,300.5625,1410.6875,13.203125
2019-07-12 11:46:12,274.6055,300.5625,1410.6875,13.203125
2019-07-12 11:46:11,274.7266,300.4492,1410.6797,13.203125
2019-07-12 11:46:10,274.7266,300.4492,1410.6797,13.203125
2019-07-12 11:46:09,274.7266,300.4492,1410.6797,13.203125
2019-07-12 11:46:08,274.7266,300.457,1410.6797,13.195312
2019-07-12 11:46:07,274.7266,300.457,1410.6797,13.195312
2019-07-12 11:46:06,274.7266,300.457,1410.6797,13.195312
2019-07-12 11:46:05,274.7266,300.457,1410.6797,13.195312
2019-07-12 11:46:04,274.7266,300.457,1410.6797,13.195312
2019-07-12 11:46:03,274.8906,300.3164,1410.6562,13.195312
2019-07-12 11:46:02,274.9688,300.2383,1410.6641,13.1875
2019-07-12 11:46:01,274.9688,300.2383,1410.6641,13.1875
2019-07-12 11:46:00,274.9688,300.2383,1410.6641,13.1875
2019-07-12 11:45:59,274.9688,300.2383,1410.6641,13.1875
2019-07-12 11:45:58,274.8477,300.3594,1410.6641,13.1875
2019-07-12 11:45:57,274.8477,300.3594,1410.6641,13.1875
2019-07-12 11:45:56,274.9688,300.2383,1410.6641,13.1875
2019-07-12 11:45:55,274.9688,300.2383,1410.6641,13.1875
2019-07-12 11:45:54,274.9688,300.2383,1410.6641,13.1875
2019-07-12 11:45:53,274.9688,300.2383,1410.6641,13.1875
2019-07-12 11:45:52,274.9688,300.2383,1410.6641,13.1875
2019-07-12 11:45:51,274.9688,300.2383,1410.6641,13.1875
2019-07-12 11:45:50,274.9688,300.2344,1410.668,13.1875
2019-07-12 11:45:49,274.9688,300.2422,1410.6602,13.1875
2019-07-12 11:45:48,274.9688,300.2422,1410.668,13.179688
2019-07-12 11:45:47,274.9688,300.2422,1410.668,13.179688
2019-07-12 11:45:46,274.9688,300.2422,1410.668,13.179688
2019-07-12 11:45:45,274.9688,300.2422,1410.668,13.179688
2019-07-12 11:45:44,274.9688,300.2422,1410.668,13.179688
2019-07-12 11:45:43,274.9688,300.2422,1410.668,13.179688
2019-07-12 11:45:42,274.9375,300.2734,1410.668,13.179688
2019-07-12 11:45:41,274.9375,300.2812,1410.668,13.171875
2019-07-12 11:45:40,274.9375,300.2812,1410.668,13.171875
2019-07-12 11:45:39,274.8984,300.3203,1410.668,13.171875
2019-07-12 11:45:38,274.8164,300.4023,1410.668,13.171875
2019-07-12 11:45:37,274.9375,300.2812,1410.668,13.171875
2019-07-12 11:45:36,274.9375,300.2812,1410.668,13.171875
2019-07-12 11:45:35,274.9375,300.2812,1410.668,13.171875
2019-07-12 11:45:34,274.9375,300.2812,1410.668,13.171875
2019-07-12 11:45:33,274.9375,300.2812,1410.668,13.171875
2019-07-12 11:45:32,274.9375,300.2891,1410.6602,13.171875
2019-07-12 11:45:31,274.9375,300.293,1410.6641,13.164062
2019-07-12 11:45:30,275.0586,300.1719,1410.6641,13.164062
2019-07-12 11:45:29,275.0586,300.1719,1410.6641,13.164062
2019-07-12 11:45:28,275.0586,300.1719,1410.6641,13.164062
2019-07-12 11:45:27,275.0586,300.1719,1410.6641,13.164062
2019-07-12 11:45:26,275.0586,300.1758,1410.6602,13.164062
2019-07-12 11:45:25,275.0586,300.1758,1410.6602,13.164062
2019-07-12 11:45:24,274.9375,300.293,1410.6641,13.164062
2019-07-12 11:45:23,274.9375,300.293,1410.6641,13.164062
2019-07-12 11:45:22,274.9375,300.293,1410.6641,13.164062
2019-07-12 11:45:21,274.9375,300.293,1410.6641,13.164062
2019-07-12 11:45:20,274.9375,300.293,1410.6641,13.164062
2019-07-12 11:45:19,274.9375,300.293,1410.6641,13.164062
