time,received,sent
2019-07-12 11:46:00,0,0
2019-07-12 11:45:59,0,0
2019-07-12 11:45:58,1.6091153,-1.1455997
2019-07-12 11:45:57,5.222885,-3.7184
2019-07-12 11:45:56,0,0
2019-07-12 11:45:55,0,0
2019-07-12 11:45:54,0,0
2019-07-12 11:45:53,0,0
2019-07-12 11:45:52,0,0
2019-07-12 11:45:51,0,0
2019-07-12 11:45:50,0,0
2019-07-12 11:45:49,0,0
2019-07-12 11:45:48,1.5665482,-1.1134599
2019-07-12 11:45:47,5.265452,-3.74254
2019-07-12 11:45:46,0,0
2019-07-12 11:45:45,0,0
2019-07-12 11:45:44,0,0
2019-07-12 11:45:43,0,0
2019-07-12 11:45:42,0,0
2019-07-12 11:45:41,0,0
2019-07-12 11:45:40,0,0
2019-07-12 11:45:39,0,0
2019-07-12 11:45:38,0,0
2019-07-12 11:45:37,1.708263,-1.2161871
2019-07-12 11:45:36,5.123737,-3.647813
2019-07-12 11:45:35,0,0
2019-07-12 11:45:34,0,0
2019-07-12 11:45:33,0,0
2019-07-12 11:45:32,0,0
2019-07-12 11:45:31,0,0
2019-07-12 11:45:30,0,0
2019-07-12 11:45:29,0,0
2019-07-12 11:45:28,0,0
2019-07-12 11:45:27,1.705242,-1.2100426
2019-07-12 11:45:26,5.126758,-3.637957
2019-07-12 11:45:25,0,0
2019-07-12 11:45:24,0,0
2019-07-12 11:45:23,0,0
2019-07-12 11:45:22,0,0
2019-07-12 11:45:21,0,0
2019-07-12 11:45:20,0,0
2019-07-12 11:45:19,0,0
2019-07-12 11:45:18,0,0
2019-07-12 11:45:17,1.722695,-1.2244447
2019-07-12 11:45:16,5.109305,-3.631555
2019-07-12 11:45:15,0,0
2019-07-12 11:45:14,0,0
2019-07-12 11:45:13,0,0
2019-07-12 11:45:12,0,0
2019-07-12 11:45:11,0,0
2019-07-12 11:45:10,0,0
2019-07-12 11:45:09,0,0
2019-07-12 11:45:08,0,0
2019-07-12 11:45:07,1.951388,-1.3892786
2019-07-12 11:45:06,4.880612,-3.474721
2019-07-12 11:45:05,0,0
2019-07-12 11:45:04,0,0
2019-07-12 11:45:03,0,0
2019-07-12 11:45:02,0,0
2019-07-12 11:45:01,0,0
2019-07-12 11:45:00,0,0
2019-07-12 11:44:59,0,0
2019-07-12 11:44:58,0,0
2019-07-12 11:44:57,1.949114,-1.3876596
2019-07-12 11:44:56,4.882886,-3.47634
2019-07-12 11:44:55,0,0
2019-07-12 11:44:54,0,0
2019-07-12 11:44:53,0,0
2019-07-12 11:44:52,0,0
2019-07-12 11:44:51,0,0
2019-07-12 11:44:50,0,0
2019-07-12 11:44:49,0,0
2019-07-12 11:44:48,0,0
2019-07-12 11:44:47,1.97057,-1.4006273
2019-07-12 11:44:46,4.86143,-3.455373
2019-07-12 11:44:45,0,0
2019-07-12 11:44:44,0,0
2019-07-12 11:44:43,0,0
2019-07-12 11:44:42,0,0
2019-07-12 11:44:41,0,0
2019-07-12 11:44:40,0,0
2019-07-12 11:44:39,0,0
2019-07-12 11:44:38,0,0
2019-07-12 11:44:37,2.036437,-1.4474441
2019-07-12 11:44:36,4.795563,-3.408556
2019-07-12 11:44:35,0,0
2019-07-12 11:44:34,0,0
2019-07-12 11:44:33,0,0
2019-07-12 11:44:32,0,0
2019-07-12 11:44:31,0,0
2019-07-12 11:44:30,0,0
2019-07-12 11:44:29,0,0
2019-07-12 11:44:28,0,0
2019-07-12 11:44:27,3.706934,-7.163145
2019-07-12 11:44:26,8.949066,-17.29285
2019-07-12 11:44:25,0,0
2019-07-12 11:44:24,0,0
2019-07-12 11:44:23,0,0
2019-07-12 11:44:22,0,0
2019-07-12 11:44:21,0,0
2019-07-12 11:44:20,0,0
2019-07-12 11:44:19,0,0
2019-07-12 11:44:18,0,0
2019-07-12 11:44:17,2.049248,-1.4199699
2019-07-12 11:44:16,4.958752,-3.43603
2019-07-12 11:44:15,0,0
2019-07-12 11:44:14,0,0
2019-07-12 11:44:13,0,0
2019-07-12 11:44:12,0,0
2019-07-12 11:44:11,0,0
2019-07-12 11:44:10,0,0
2019-07-12 11:44:09,0,0
2019-07-12 11:44:08,0,0
2019-07-12 11:44:07,2.221661,-1.539439
2019-07-12 11:44:06,4.786339,-3.316561
2019-07-12 11:44:05,0,0
2019-07-12 11:44:04,0,0
2019-07-12 11:44:03,0,0
2019-07-12 11:44:02,0,0
2019-07-12 11:44:01,0,0
2019-07-12 11:44:00,0,0
2019-07-12 11:43:59,0,0
2019-07-12 11:43:58,0,0
2019-07-12 11:43:57,2.204883,-1.5303297
2019-07-12 11:43:56,4.803117,-3.33367
2019-07-12 11:43:55,0,0
